bank_line_id,confidence,decision,method,note,order_id,step
,0.0,deferred_to_llm,rule,settlement UTR not found verbatim in any bank line,ORD1001,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1002,match
,1.0,exception,rule,amount diff exceeds fee tolerance,ORD1003,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1004,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1005,match
,0.9,matched,fuzzy,"UTR matched; amount differs by 1.6%, within fee tolerance",ORD1006,match
,0.0,deferred_to_llm,rule,settlement UTR not found verbatim in any bank line,ORD1007,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1008,match
,1.0,exception,rule,amount diff exceeds fee tolerance,ORD1009,match
,1.0,exception,rule,no settlement row for this payment_id,ORD1010,settlement_lookup
,0.0,deferred_to_llm,rule,settlement UTR not found verbatim in any bank line,ORD1011,match
,1.0,exception,rule,amount diff exceeds fee tolerance,ORD1012,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1013,match
,0.9,matched,fuzzy,"UTR matched; amount differs by 2.2%, within fee tolerance",ORD1014,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1015,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1016,match
,0.8,exception,rule,unresolved duplicate settlement,ORD1016,dedupe
,1.0,matched,exact,UTR + amount matched exactly,ORD1017,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1018,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1019,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1020,match
,0.0,deferred_to_llm,rule,settlement UTR not found verbatim in any bank line,ORD1021,match
,1.0,exception,rule,amount diff exceeds fee tolerance,ORD1022,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1023,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1024,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1025,match
,0.8,exception,rule,unresolved duplicate settlement,ORD1025,dedupe
,1.0,matched,exact,UTR + amount matched exactly,ORD1026,match
,0.9,matched,fuzzy,"UTR matched; amount differs by 2.6%, within fee tolerance",ORD1027,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1028,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1029,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1030,match
,1.0,exception,rule,no settlement row for this payment_id,ORD1031,settlement_lookup
,1.0,matched,exact,UTR + amount matched exactly,ORD1032,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1033,match
,0.0,deferred_to_llm,rule,settlement UTR not found verbatim in any bank line,ORD1034,match
,1.0,exception,rule,amount diff exceeds fee tolerance,ORD1035,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1036,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1037,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1038,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1039,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1040,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1041,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1042,match
,0.0,deferred_to_llm,rule,settlement UTR not found verbatim in any bank line,ORD1043,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1044,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1045,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1046,match
,0.0,deferred_to_llm,rule,settlement UTR not found verbatim in any bank line,ORD1047,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1048,match
,0.8,exception,rule,unresolved duplicate settlement,ORD1048,dedupe
,1.0,exception,rule,amount diff exceeds fee tolerance,ORD1049,match
,0.0,deferred_to_llm,rule,settlement UTR not found verbatim in any bank line,ORD1050,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1051,match
,1.0,exception,rule,no settlement row for this payment_id,ORD1052,settlement_lookup
,1.0,exception,rule,no settlement row for this payment_id,ORD1053,settlement_lookup
,1.0,matched,exact,UTR + amount matched exactly,ORD1054,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1055,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1056,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1057,match
,1.0,matched,exact,UTR + amount matched exactly,ORD1058,match
