amount,line_id,narration,value_date
19317.03,bl_5357072697,NEFT-UTR930793811-RAZORPAY SETTLEMENT ISHAAN,2026-08-09
10630.37,bl_2863281722,NEFT-UTR260170668-RAZORPAY SETTLEMENT SNEHA,2026-08-04
11269.31,bl_9346839080,NEFT-UTR634764120-RAZORPAY SETTLEMENT SNEHA,2026-08-12
9220.39,bl_5578531558,NEFT-UTR977676897-RAZORPAY SETTLEMENT ANANYA,2026-08-07
1880.81,bl_8535516804,NEFT-UTR426249388-RAZORPAY SETTLEMENT MEERA,2026-08-28
2403.35,bl_8306805167,NEFT-UTR560996208-RAZORPAY SETTLEMENT ADITYA,2026-08-04
19656.18,bl_9054070450,NEFT-UTR278464151-RAZORPAY SETTLEMENT ARJUN,2026-08-05
10104.68,bl_1043302416,NEFT-UTR604815531-RAZORPAY SETTLEMENT PRIYA,2026-08-11
19924.91,bl_3472529647,NEFT-UTR906310611-RAZORPAY SETTLEMENT MEERA,2026-08-02
9610.92,bl_8165326342,NEFT-UTR392390780-RAZORPAY SETTLEMENT VIKRAM,2026-08-20
14550.67,bl_6332451957,NEFT-UTR331519991-RAZORPAY SETTLEMENT RITU,2026-08-17
2124.5,bl_2016001630,IMPS-311022063-SETTLEMENT RZP,2026-08-14
1139.68,bl_1071397696,NEFT-UTR154364157-RAZORPAY SETTLEMENT SNEHA,2026-08-19
2557.51,bl_3666649976,NEFT-501729259-RAZORPAY,2026-08-21
6608.49,bl_6353989544,IMPS-131144123-SETTLEMENT RZP,2026-08-14
21008.2,bl_1641003887,IMPS-544338439-SETTLEMENT RZP,2026-08-06
16826.24,bl_7338167952,NEFT-UTR839826728-RAZORPAY SETTLEMENT RITU,2026-08-09
3935.83,bl_6940899671,NEFT-UTR278086998-RAZORPAY SETTLEMENT PRIYA,2026-08-02
1375.0,bl_1576955318,NEFT-UTR717676118-RAZORPAY SETTLEMENT ROHIT,2026-08-05
1120.76,bl_3932564279,NEFT/62737.../CUST TXN,2026-08-18
5523.07,bl_2624094166,NEFT-UTR759016957-RAZORPAY SETTLEMENT ADITYA,2026-08-22
10379.13,bl_7346059385,NEFT-UTR355376036-RAZORPAY SETTLEMENT SNEHA,2026-08-05
2930.47,bl_8197921027,NEFT-UTR281851878-RAZORPAY SETTLEMENT SNEHA,2026-08-14
14969.58,bl_5910399254,NEFT-UTR430163185-RAZORPAY SETTLEMENT SAMEER,2026-08-12
22575.89,bl_2441975192,NEFT-UTR821935872-RAZORPAY SETTLEMENT RITU,2026-08-21
10243.16,bl_3861731698,NEFT-UTR848584859-RAZORPAY SETTLEMENT ADITYA,2026-08-06
22326.7,bl_6802929604,NEFT-UTR688754913-RAZORPAY SETTLEMENT ANANYA,2026-08-05
19256.27,bl_1004655101,NEFT-UTR236235222-RAZORPAY SETTLEMENT ANANYA,2026-08-08
15250.7,bl_7500825702,NEFT-UTR827921180-RAZORPAY SETTLEMENT NEHA,2026-08-21
14983.67,bl_8066000014,IMPS-247862703-SETTLEMENT RZP,2026-08-22
8307.15,bl_9919248484,NEFT/32839.../CUST TXN,2026-08-20
15738.95,bl_8612421344,IMPS-340489753-SETTLEMENT RZP,2026-08-02
3809.18,bl_3316806779,NEFT/24278.../CUST TXN,2026-08-21
15410.31,bl_4721165022,NEFT-UTR535268888-RAZORPAY SETTLEMENT ISHAAN,2026-08-21
17434.34,bl_3989897659,NEFT-UTR541741093-RAZORPAY SETTLEMENT ANANYA,2026-08-21
12115.79,bl_6282892493,NEFT-UTR556942378-RAZORPAY SETTLEMENT PRIYA,2026-08-19
5176.39,bl_8594017334,NEFT-UTR273877722-RAZORPAY SETTLEMENT NEHA,2026-08-12
12205.29,bl_1669883523,IMPS-838427556-SETTLEMENT RZP,2026-08-03
15507.58,bl_1276842655,NEFT-UTR976568400-RAZORPAY SETTLEMENT KARAN,2026-08-15
1545.31,bl_2728112407,NEFT-UTR578756718-RAZORPAY SETTLEMENT ISHAAN,2026-08-15
20277.37,bl_1162109303,NEFT-UTR253358416-RAZORPAY SETTLEMENT KARAN,2026-08-03
9993.27,bl_2654654160,NEFT-UTR358681105-RAZORPAY SETTLEMENT SNEHA,2026-08-17
5448.54,bl_9925784862,NEFT-UTR854418238-RAZORPAY SETTLEMENT VIKRAM,2026-08-18
15705.31,bl_1971704548,NEFT-UTR573593601-RAZORPAY SETTLEMENT SNEHA,2026-08-22
11740.37,bl_4873461239,NEFT-UTR839635288-RAZORPAY SETTLEMENT ADITYA,2026-08-07
19186.69,bl_6031669003,NEFT-UTR345127064-RAZORPAY SETTLEMENT ARJUN,2026-08-16
13476.4,bl_4936652013,NEFT-UTR487663080-RAZORPAY SETTLEMENT SNEHA,2026-08-12
17896.35,bl_9878676364,NEFT-UTR298949399-RAZORPAY SETTLEMENT VIKRAM,2026-08-07
17555.29,bl_3219168961,NEFT-UTR422758133-RAZORPAY SETTLEMENT RITU,2026-08-05
23684.31,bl_1844722993,NEFT-UTR184951242-RAZORPAY SETTLEMENT KARAN,2026-08-09
18954.77,bl_4924514645,NEFT-UTR629795172-RAZORPAY SETTLEMENT KARAN,2026-08-21
2089.31,bl_9670213011,NEFT-UTR967614350-RAZORPAY SETTLEMENT SNEHA,2026-08-09
10020.44,bl_8550727834,NEFT-UTR102563119-RAZORPAY SETTLEMENT ROHIT,2026-08-08
12431.78,bl_7713838055,NEFT-UTR118311881-RAZORPAY SETTLEMENT RITU,2026-08-18
16812.57,bl_3468403959,NEFT-UTR275265384-RAZORPAY SETTLEMENT TANVI,2026-08-18
