amount,payment_id,settled_at,settlement_id,utr
6608.49,pay_99077186089,2026-08-14T22:00:00,stl_1673671309,UTR131144123
2817.77,pay_38910213920,2026-08-10T00:00:00,stl_4423720279,UTR295502252
3935.83,pay_39092363435,2026-08-02T06:00:00,stl_3687490721,UTR278086998
9220.39,pay_19722998268,2026-08-07T04:00:00,stl_8334413227,UTR977676897
20516.4,pay_32831157567,2026-08-17T22:00:00,stl_5539784435,UTR856632724
10124.54,pay_63112357897,2026-08-20T13:00:00,stl_1844054145,UTR109747845
20540.48,pay_59445793882,2026-08-17T11:00:00,stl_8719029809,UTR369395330
5448.54,pay_53586168360,2026-08-18T19:00:00,stl_6655612876,UTR854418238
16422.6,pay_18798464573,2026-08-12T15:00:00,stl_7846007039,UTR672874271
21008.2,pay_96469618746,2026-08-06T23:00:00,stl_6020047383,UTR544338439
11740.37,pay_72372349808,2026-08-07T14:00:00,stl_7313949079,UTR839635288
9610.92,pay_32928591681,2026-08-20T05:00:00,stl_6607934866,UTR392390780
12023.57,pay_34265243029,2026-08-12T10:00:00,stl_6371682491,UTR112434639
7433.01,pay_58776099470,2026-08-19T20:00:00,stl_4620140258,UTR471065666
23924.96,pay_36483509744,2026-08-19T04:00:00,stl_3969650282,UTR612431400
23790.83,pay_36483509744,2026-08-20T04:00:00,stl_8431811377,UTR284497569
15705.31,pay_35888439437,2026-08-22T08:00:00,stl_3946163882,UTR573593601
22326.7,pay_35632281137,2026-08-05T10:00:00,stl_7079482301,UTR688754913
15410.31,pay_61123778812,2026-08-21T06:00:00,stl_8970835344,UTR535268888
20833.84,pay_93966322571,2026-08-14T01:00:00,stl_5849704205,UTR417055915
3809.18,pay_76846266014,2026-08-21T12:00:00,stl_5299036698,UTR242789451
18954.77,pay_67677978649,2026-08-21T12:00:00,stl_6926112272,UTR629795172
14969.58,pay_66912904912,2026-08-12T15:00:00,stl_9287330713,UTR430163185
3309.58,pay_49709121465,2026-08-22T14:00:00,stl_5351675019,UTR246501580
12013.67,pay_46464782628,2026-08-04T07:00:00,stl_6554201278,UTR874657789
11919.49,pay_46464782628,2026-08-05T07:00:00,stl_1507574924,UTR916471864
13476.4,pay_12275763620,2026-08-12T19:00:00,stl_1156460994,UTR487663080
16826.24,pay_69302894384,2026-08-09T00:00:00,stl_8907895495,UTR839826728
21340.96,pay_21846364737,2026-08-09T09:00:00,stl_7795121912,UTR103464377
12115.79,pay_57128340451,2026-08-19T15:00:00,stl_9883793280,UTR556942378
2403.35,pay_14046572841,2026-08-04T21:00:00,stl_9582781247,UTR560996208
17896.35,pay_29060937740,2026-08-07T09:00:00,stl_4444801754,UTR298949399
1375.0,pay_44668992934,2026-08-05T21:00:00,stl_8483283108,UTR717676118
2557.51,pay_59347369341,2026-08-21T15:00:00,stl_2265830982,UTR501792259
2089.31,pay_79936851837,2026-08-09T08:00:00,stl_2670328349,UTR967614350
2404.51,pay_26593111770,2026-08-03T02:00:00,stl_7281971816,UTR586943313
19971.65,pay_64653487432,2026-08-03T17:00:00,stl_1498550247,UTR261921407
5523.07,pay_49664103919,2026-08-22T12:00:00,stl_8713939499,UTR759016957
20827.18,pay_99354660786,2026-08-22T09:00:00,stl_3462126327,UTR488929101
1862.05,pay_36570135457,2026-08-04T01:00:00,stl_2496871691,UTR626164787
22276.49,pay_71517926734,2026-08-21T13:00:00,stl_3806167364,UTR305730993
9824.74,pay_46730831205,2026-08-17T04:00:00,stl_8517772796,UTR978778118
12205.29,pay_54534378576,2026-08-03T11:00:00,stl_8188975290,UTR838427556
16812.57,pay_42961577953,2026-08-18T14:00:00,stl_4070072555,UTR275265384
2230.62,pay_32814176146,2026-08-14T22:00:00,stl_8378446275,UTR404022706
5455.59,pay_68448839006,2026-08-12T20:00:00,stl_5556388472,UTR390674003
1120.76,pay_40370651625,2026-08-18T18:00:00,stl_9313923758,UTR627379256
1545.31,pay_44565471901,2026-08-15T01:00:00,stl_3750898871,UTR578756718
1541.45,pay_44565471901,2026-08-16T01:00:00,stl_1835359115,UTR847034305
5176.39,pay_83387329592,2026-08-12T03:00:00,stl_6830907390,UTR273877722
15738.95,pay_73087079347,2026-08-02T09:00:00,stl_5890750244,UTR340489753
10243.16,pay_20895298881,2026-08-06T04:00:00,stl_8725826326,UTR848584859
300.86,pay_87874385261,2026-08-11T20:00:00,stl_4126822911,UTR254051360
2930.47,pay_53509068971,2026-08-14T17:00:00,stl_6422791415,UTR281851878
1139.68,pay_12393263237,2026-08-19T23:00:00,stl_8844645718,UTR154364157
10892.91,pay_58663577384,2026-08-13T06:00:00,stl_5704264924,UTR727515604
19186.69,pay_53457350172,2026-08-16T13:00:00,stl_7855742179,UTR345127064
19256.27,pay_93715026231,2026-08-08T17:00:00,stl_3944192246,UTR236235222
14550.67,pay_61031896007,2026-08-17T22:00:00,stl_6158927537,UTR331519991
20277.37,pay_63662938507,2026-08-03T19:00:00,stl_7399986638,UTR253358416
10104.68,pay_56192594381,2026-08-11T06:00:00,stl_4437565792,UTR604815531
15250.7,pay_65032543045,2026-08-21T05:00:00,stl_7915933246,UTR827921180
12058.73,pay_90812078341,2026-08-14T14:00:00,stl_3305188431,UTR843895196
19317.03,pay_19819992932,2026-08-09T09:00:00,stl_7069239526,UTR930793811
17555.29,pay_21825734954,2026-08-05T01:00:00,stl_6191521975,UTR422758133
3568.73,pay_63358873705,2026-08-13T17:00:00,stl_4863480144,UTR820648565
8307.15,pay_41671164636,2026-08-20T22:00:00,stl_3672216497,UTR328393796
18838.57,pay_87578657705,2026-08-10T20:00:00,stl_7122015111,UTR991495579
10630.37,pay_32895182306,2026-08-04T19:00:00,stl_3419683111,UTR260170668
14983.67,pay_14622278116,2026-08-22T22:00:00,stl_2367716423,UTR247862703
22575.89,pay_26492288607,2026-08-21T15:00:00,stl_1479323293,UTR821935872
15507.58,pay_73385415550,2026-08-15T18:00:00,stl_5738736093,UTR976568400
8306.15,pay_21877232258,2026-08-08T14:00:00,stl_2611394132,UTR683542376
19924.91,pay_77901486768,2026-08-02T03:00:00,stl_4388729449,UTR906310611
10379.13,pay_16152073272,2026-08-05T16:00:00,stl_1315146110,UTR355376036
13670.58,pay_70523905891,2026-08-14T07:00:00,stl_4289561302,UTR970568443
12399.88,pay_14631735011,2026-08-15T16:00:00,stl_8245891015,UTR308131829
4251.26,pay_91003747185,2026-08-18T13:00:00,stl_1925980414,UTR809761374
22483.67,pay_56779835865,2026-08-02T05:00:00,stl_5175086677,UTR938503501
10020.44,pay_75022604377,2026-08-08T08:00:00,stl_4303982310,UTR102563119
2124.5,pay_69688891357,2026-08-14T01:00:00,stl_2967590844,UTR311022063
6886.46,pay_28101574865,2026-08-22T11:00:00,stl_2218235065,UTR853772606
